"Acute.myeloid.leukemia"	"BladderUrothelialCarcinoma.TCGA.US."	"Breast.Cancer"	"BreastCarcinoma.WTSI.UK."	"BreastInvasiveCarcinoma.TCGA.US."	"CervicalSquamousCellCarcinoma.TCGA.US."	"Chronic.lymphocytic.leukaemia"	"ColonAdenocarcinoma.TCGA.US."	"Colorectal.adenocarcinoma"	"GastricCancer.CCGC.CN."	"Hepatocellular.carcinoma"	"Hypodiploid_ALL"	"Leukemia.T.ALL"	"LiverCancer.NCC.JP."	"LiverCancer.RIKEN.JP."	"Lung"	"MalignantMelanoma.WTSI.UK."	"Medulloblastoma"	"Melanoma"	"Myeloid.leukemia"	"Myeloma"	"Pancreatic"	"PediatricBrainTumors.DKFZ.DE."	"Prostate"	"ProstateCancer.OICR.CA."	"RectumAdenocarcinoma.TCGA.US."	"Small.cell.lung.cancer"	"T.cell.ALL"	"UterineCorpusEndometrioidCarcinoma.TCGA.US."
"hsa-miR-23c"	0	2	8	2	0	0	2	2	11	1	1	0	2	51	47	2	0	3	0	0	1	1	1	3	41	1	5	1	24
"hsa-miR-371b-5p"	0	2	10	0	0	1	0	8	14	3	0	1	0	54	54	6	0	4	0	0	0	0	0	5	34	2	1	0	13
"hsa-miR-373-5p"	0	2	10	0	0	1	0	8	14	3	0	1	0	54	54	6	0	4	0	0	0	0	0	5	34	2	1	0	13
"hsa-miR-5001-3p"	0	6	4	0	0	0	0	7	3	2	1	0	1	55	34	4	0	1	1	0	1	1	1	1	68	2	2	0	17
"hsa-miR-552"	0	5	8	2	2	0	0	5	13	6	0	0	0	42	29	2	1	4	3	0	1	0	0	5	65	2	0	0	17
"hsa-miR-593-3p"	0	4	7	3	0	1	1	6	6	4	1	3	1	43	33	4	0	1	3	0	1	0	2	1	51	0	0	1	35
"hsa-miR-616-5p"	0	2	10	0	0	1	0	8	14	3	0	1	0	54	54	6	0	4	0	0	0	0	0	5	34	2	1	0	13
"hsa-miR-759"	0	4	8	1	0	0	0	3	10	2	1	1	1	55	34	1	0	1	4	1	2	0	2	2	64	0	1	1	13
"hsa-miR-143-5p"	1	2	3	0	0	0	0	4	2	1	0	1	2	44	26	2	0	4	1	1	2	0	0	1	91	0	1	0	22
"hsa-miR-221-5p"	1	2	3	0	1	0	0	6	4	1	0	1	2	57	34	3	0	2	1	0	0	0	1	4	75	0	0	0	13
"hsa-miR-302b-5p"	0	1	5	2	0	0	0	3	15	1	0	1	1	64	71	4	0	7	0	0	0	0	0	1	21	1	1	0	12
"hsa-miR-302d-5p"	0	1	5	2	0	0	0	3	15	1	0	1	1	64	71	4	0	7	0	0	0	0	0	1	21	1	1	0	12
"hsa-miR-3188"	1	1	8	2	0	0	0	3	5	2	1	0	1	50	32	3	0	2	3	0	1	0	0	0	87	0	1	0	8
"hsa-miR-3926"	0	1	1	1	0	0	0	5	10	3	0	1	0	55	30	3	0	3	1	0	1	2	1	1	83	0	1	0	8
"hsa-miR-520a-5p"	0	7	6	2	0	0	0	11	5	3	0	1	0	50	31	1	0	1	4	0	0	0	0	0	72	0	0	0	17
"hsa-miR-525-5p"	0	7	6	2	0	0	0	11	5	3	0	1	0	50	31	1	0	1	4	0	0	0	0	0	72	0	0	0	17
"hsa-miR-1270"	0	1	3	1	0	0	1	3	7	0	1	4	2	51	32	4	0	2	2	1	0	0	0	1	78	0	0	0	16
"hsa-miR-130b-5p"	0	4	11	3	0	1	1	8	7	0	1	4	1	43	58	7	0	5	7	1	0	1	2	1	12	3	3	0	26
"hsa-miR-4753-3p"	0	4	9	6	1	0	1	7	9	2	0	4	0	33	55	3	0	5	5	1	0	2	2	1	17	1	1	0	41
"hsa-miR-580"	0	1	5	1	0	0	0	2	9	1	1	1	0	48	44	6	0	6	4	1	0	0	0	0	60	0	2	0	18
"hsa-miR-105-5p"	0	1	4	0	0	0	1	4	7	3	1	4	1	51	62	4	0	5	1	1	0	0	0	1	39	3	1	0	15
"hsa-miR-361-3p"	0	0	6	0	0	0	0	2	9	2	1	1	0	85	42	7	1	3	5	0	0	0	1	3	28	0	0	0	13
"hsa-miR-4291"	0	3	8	2	0	1	0	9	6	4	0	3	1	57	29	2	0	3	1	1	0	0	0	0	58	0	3	0	18
"hsa-miR-513a-5p"	0	5	14	2	1	1	0	9	9	4	0	2	2	57	40	0	0	4	1	0	2	1	3	4	30	2	3	1	12
"hsa-miR-513c-5p"	0	5	8	1	0	0	1	4	11	2	0	3	1	37	52	3	0	3	2	1	0	1	0	3	50	0	1	0	20
"hsa-miR-514b-5p"	0	5	8	1	0	0	1	4	11	2	0	3	1	37	52	3	0	3	2	1	0	1	0	3	50	0	1	0	20
"hsa-miR-1281"	0	1	0	0	1	0	0	0	5	0	0	0	2	29	19	3	0	2	4	0	1	0	0	0	126	0	0	0	15
"hsa-miR-148a-3p"	0	1	4	2	0	0	0	2	7	3	1	1	2	64	31	4	0	3	1	0	0	1	0	0	64	0	1	0	16
"hsa-miR-148b-3p"	0	1	4	2	0	0	0	2	7	3	1	1	2	64	31	4	0	3	1	0	0	1	0	0	64	0	1	0	16
"hsa-miR-152"	0	1	4	2	0	0	0	2	7	3	1	1	2	64	31	4	0	3	1	0	0	1	0	0	64	0	1	0	16
"hsa-miR-3143"	1	1	5	1	0	0	0	1	16	1	0	2	0	54	73	2	0	7	1	1	0	0	0	3	13	5	3	1	17
"hsa-miR-4672"	1	1	5	1	1	0	1	3	10	2	1	1	1	53	56	5	0	4	1	1	1	0	4	7	35	0	1	1	11
"hsa-miR-4677-3p"	0	5	7	4	0	1	0	8	5	0	0	2	1	41	52	3	0	2	0	0	0	0	0	0	50	1	0	0	26
"hsa-miR-4728-3p"	1	0	1	2	0	0	0	2	6	2	1	3	0	54	26	7	0	3	2	1	0	1	0	1	76	1	0	0	18
"hsa-miR-518a-5p"	0	1	3	2	0	0	0	9	8	1	0	2	1	52	48	1	0	4	1	0	0	1	0	2	51	0	0	0	21
"hsa-miR-527"	0	1	3	2	0	0	0	9	8	1	0	2	1	52	48	1	0	4	1	0	0	1	0	2	51	0	0	0	21
"hsa-miR-5693"	0	1	11	0	0	0	0	3	5	3	0	3	1	58	26	6	0	0	1	0	0	0	0	0	79	1	0	0	10
"hsa-miR-1909-5p"	2	1	9	1	1	0	0	2	4	2	1	1	0	30	28	4	0	2	0	0	0	1	1	0	97	1	1	0	18
"hsa-miR-3150b-3p"	0	2	4	6	0	1	2	5	7	4	0	2	1	57	37	6	0	5	3	0	0	0	0	1	43	0	2	0	19
"hsa-miR-3665"	1	5	6	0	1	0	0	6	12	8	0	0	0	46	28	3	1	3	5	0	2	0	0	8	56	1	0	0	15
"hsa-miR-4700-3p"	0	2	11	4	1	0	0	8	9	3	0	3	0	66	33	0	0	3	1	0	1	1	2	2	37	2	1	1	16
"hsa-miR-4784"	0	2	4	6	0	1	2	5	7	4	0	2	1	57	37	6	0	5	3	0	0	0	0	1	43	0	2	0	19
"hsa-miR-936"	1	2	4	0	0	0	0	9	7	6	1	3	0	48	44	2	0	2	1	0	0	0	0	1	66	0	0	0	10
"hsa-miR-103a-3p"	0	1	7	2	0	1	0	1	11	4	0	4	2	58	26	2	0	5	2	0	1	1	2	2	51	1	2	0	20
"hsa-miR-107"	0	1	7	2	0	1	0	1	11	4	0	4	2	58	26	2	0	5	2	0	1	1	2	2	51	1	2	0	20
"hsa-miR-1275"	1	1	5	1	0	0	0	8	10	0	1	5	1	85	24	12	2	2	7	2	2	0	2	6	14	0	0	0	15
"hsa-miR-214-3p"	1	4	7	3	0	0	0	9	4	5	0	4	1	73	32	4	0	3	3	1	1	0	0	1	29	0	2	1	18
"hsa-miR-3187-3p"	0	5	0	3	1	0	0	2	5	4	0	2	0	44	23	2	0	2	1	0	0	2	1	1	95	0	0	0	13
"hsa-miR-34a-5p"	1	1	5	0	0	0	0	2	4	3	0	3	1	47	37	3	0	2	1	0	0	1	0	2	79	0	0	0	14
"hsa-miR-449a"	1	1	5	0	0	0	0	2	4	3	0	3	1	47	37	3	0	2	1	0	0	1	0	2	79	0	0	0	14
"hsa-miR-4516"	0	1	7	2	1	0	0	3	7	2	2	3	0	52	34	3	0	3	3	2	0	0	0	3	53	0	1	0	24
"hsa-miR-922"	0	4	12	2	0	0	0	4	4	4	0	3	2	70	32	2	0	5	1	1	2	1	2	2	29	0	3	0	21
"hsa-miR-4330"	0	5	11	6	0	2	0	9	3	2	0	1	0	46	35	0	0	2	1	0	0	0	0	2	68	0	1	0	11
"hsa-miR-545-3p"	0	2	6	1	0	1	0	12	11	3	0	1	0	49	34	2	0	6	1	0	0	0	1	2	53	2	2	0	16
"hsa-miR-548s"	0	1	1	1	0	0	0	4	5	3	0	0	0	51	29	5	0	3	1	0	1	2	1	1	81	0	1	0	14
"hsa-miR-217"	0	0	2	0	0	0	0	7	5	3	0	1	1	50	32	2	0	3	0	0	0	1	0	2	83	0	2	0	10
"hsa-miR-4472"	1	1	7	1	0	0	0	6	9	0	2	5	1	68	27	11	1	3	6	2	1	0	2	8	25	0	0	1	16
"hsa-miR-4511"	0	1	8	3	0	0	0	2	7	2	0	4	2	50	52	4	1	6	5	1	1	1	1	0	31	0	1	0	21
"hsa-miR-4738-3p"	0	1	6	1	0	0	1	4	8	0	1	3	1	53	51	1	0	6	2	0	0	0	0	1	48	1	1	0	14
"hsa-miR-544b"	0	6	5	0	0	3	0	0	6	3	0	2	1	47	31	3	0	3	3	0	0	0	0	1	77	0	0	0	13
"hsa-miR-766-5p"	0	3	6	2	0	0	0	8	3	4	0	3	3	57	45	5	0	6	3	0	0	1	1	2	37	0	1	0	14
"hsa-miR-3154"	0	3	8	2	2	1	0	4	4	2	4	1	1	66	49	2	2	1	8	0	1	1	0	1	20	1	1	0	18
"hsa-miR-3911"	0	2	7	0	0	0	0	2	9	0	2	4	0	55	29	5	0	3	2	0	0	0	1	6	50	0	0	1	25
"hsa-miR-4447"	1	1	7	1	0	0	0	5	9	0	2	5	1	68	27	11	1	3	6	2	1	0	2	8	25	0	0	1	16
"hsa-miR-1253"	0	2	9	2	2	0	0	2	7	3	1	3	1	60	45	3	0	2	6	2	0	1	0	1	22	0	1	0	27
"hsa-miR-130a-3p"	0	1	3	3	0	0	0	3	5	2	1	1	3	50	36	2	0	2	1	0	1	0	0	0	70	0	2	0	16
"hsa-miR-130a-5p"	0	4	11	2	0	0	2	5	14	2	0	1	3	46	50	1	0	4	0	0	1	1	1	3	22	2	3	2	22
"hsa-miR-130b-3p"	0	1	3	3	0	0	0	3	5	2	1	1	3	50	36	2	0	2	1	0	1	0	0	0	70	0	2	0	16
"hsa-miR-1912"	0	1	9	0	1	0	0	4	5	2	1	1	1	43	33	1	0	1	3	0	0	0	0	1	84	0	0	1	10
"hsa-miR-301a-3p"	0	1	3	3	0	0	0	3	5	2	1	1	3	50	36	2	0	2	1	0	1	0	0	0	70	0	2	0	16
"hsa-miR-301b"	0	1	3	3	0	0	0	3	5	2	1	1	3	50	36	2	0	2	1	0	1	0	0	0	70	0	2	0	16
"hsa-miR-3666"	0	1	3	3	0	0	0	3	5	2	1	1	3	50	36	2	0	2	1	0	1	0	0	0	70	0	2	0	16
"hsa-miR-4295"	0	1	3	3	0	0	0	3	5	2	1	1	3	50	36	2	0	2	1	0	1	0	0	0	70	0	2	0	16
"hsa-miR-4757-5p"	0	2	3	2	1	2	0	2	2	2	1	2	0	42	25	4	0	0	5	0	0	1	0	1	87	0	0	0	18
"hsa-miR-548at-5p"	0	0	5	1	0	0	2	6	11	3	1	1	1	60	60	2	1	4	3	0	0	0	0	1	29	0	1	0	10
"hsa-miR-1226-3p"	0	1	3	1	0	0	0	4	15	3	0	1	1	40	34	5	0	4	1	0	0	0	1	2	77	0	0	0	8
"hsa-miR-4656"	0	1	7	3	0	0	0	1	5	1	0	1	0	57	26	3	0	5	3	0	0	1	0	4	66	0	1	1	15
"hsa-miR-642a-3p"	0	3	5	2	0	0	2	3	9	2	0	0	0	63	45	5	0	6	4	1	1	1	1	4	24	1	4	1	14
"hsa-miR-642b-3p"	0	3	5	2	0	0	2	3	9	2	0	0	0	63	45	5	0	6	4	1	1	1	1	4	24	1	4	1	14
"hsa-miR-125a-3p"	0	3	8	2	1	0	1	5	11	9	0	0	0	45	24	2	1	2	3	0	1	0	0	6	60	3	0	0	13
"hsa-miR-205-3p"	1	2	5	2	0	0	1	11	14	1	0	2	2	55	57	1	0	1	1	0	1	1	0	2	13	4	1	1	21
"hsa-miR-3591-3p"	0	1	2	1	0	0	0	2	11	3	1	2	0	50	61	1	0	4	3	0	0	0	1	1	40	0	2	3	11
"hsa-miR-4441"	1	1	4	1	1	1	0	2	8	2	1	1	0	73	38	3	0	2	4	0	1	1	0	2	36	0	2	2	13
"hsa-miR-4709-5p"	0	2	10	1	1	0	0	8	10	4	0	2	1	57	50	5	0	3	2	1	0	0	1	2	19	3	1	1	16
"hsa-miR-1207-3p"	0	1	6	0	0	0	0	1	2	4	1	0	3	58	31	3	0	3	4	0	0	0	0	0	63	0	1	0	18
"hsa-miR-3675-3p"	0	2	6	4	1	1	0	5	12	2	0	2	1	36	32	4	0	2	0	0	1	0	0	2	58	1	1	1	25
"hsa-miR-4310"	0	1	5	2	0	1	0	3	12	2	0	4	2	49	28	3	0	4	1	0	1	1	2	2	49	2	3	0	22
"hsa-miR-4509"	0	0	8	2	0	0	0	5	3	1	2	2	1	51	37	2	1	2	9	1	0	0	1	1	62	0	0	1	7
"hsa-miR-466"	1	0	6	2	0	0	2	2	10	1	1	2	1	52	57	7	0	5	1	0	1	1	2	7	26	0	2	1	9
"hsa-miR-4720-5p"	1	1	3	0	1	0	0	7	2	1	0	2	2	57	37	2	0	2	0	0	0	0	1	2	60	0	1	0	17
"hsa-miR-5000-3p"	0	1	5	3	0	1	0	3	6	2	0	6	0	64	37	0	0	3	4	1	0	0	1	1	39	1	1	0	20
"hsa-miR-516b-5p"	0	2	7	1	0	0	0	2	7	0	0	5	1	47	29	3	0	1	3	0	0	0	0	1	70	0	1	0	19
"hsa-miR-583"	2	5	4	1	1	0	2	7	3	1	2	5	1	49	51	3	1	5	9	2	1	0	0	3	17	0	0	0	24
"hsa-miR-3182"	0	8	7	4	0	0	0	14	4	0	0	1	1	58	37	2	0	4	1	0	0	0	1	3	20	1	1	1	30
"hsa-miR-3925-3p"	0	6	5	1	0	0	0	7	3	1	0	1	0	47	30	2	0	3	4	0	0	0	0	2	72	0	1	0	13
"hsa-miR-4779"	0	1	9	2	0	0	0	5	2	2	0	1	2	60	45	5	0	5	3	0	0	0	1	2	44	0	0	0	9
"hsa-miR-548g-3p"	0	0	6	3	0	0	0	4	13	1	2	3	2	57	58	5	0	5	4	0	0	0	0	0	21	1	1	0	12
"hsa-miR-5571-5p"	0	2	5	2	0	0	0	10	6	5	0	3	0	44	48	2	0	1	3	0	0	2	0	1	25	1	4	1	33
"hsa-miR-5580-3p"	0	0	6	1	0	0	1	8	8	1	0	1	1	49	74	3	0	4	1	0	0	2	0	2	19	1	0	0	16
"hsa-miR-138-5p"	0	0	4	1	0	0	0	2	9	3	2	0	2	46	24	4	0	2	2	0	0	1	0	5	71	0	1	1	17
"hsa-miR-147a"	0	1	8	0	0	0	0	3	8	0	1	3	0	59	24	3	0	2	2	0	1	0	0	7	52	0	0	1	22
"hsa-miR-1909-3p"	0	5	5	1	0	0	0	4	16	2	1	1	0	65	35	2	1	3	7	0	3	2	0	7	19	0	1	0	17
"hsa-miR-3671"	0	2	4	0	0	0	1	4	9	2	1	2	0	46	74	2	0	3	0	1	1	0	0	1	18	3	1	0	22
"hsa-miR-4422"	0	6	2	1	0	0	2	4	14	1	0	3	0	56	57	2	0	3	2	2	0	0	0	4	21	0	2	0	15
"hsa-miR-4797-3p"	1	4	8	4	0	1	0	3	7	2	1	1	0	38	27	2	0	2	2	0	0	1	0	2	72	0	1	0	18
"hsa-miR-548av-3p"	0	0	5	3	0	0	0	4	12	3	2	3	1	62	54	5	0	5	3	0	0	0	0	1	21	1	2	0	10
"hsa-miR-607"	0	2	6	1	0	0	2	10	6	4	1	3	0	45	60	3	0	5	2	2	1	0	0	0	24	4	1	0	15
"hsa-miR-761"	1	4	7	2	0	0	0	7	2	5	0	3	1	66	26	3	0	5	3	1	2	1	2	2	28	0	3	0	23
"hsa-miR-323a-3p"	0	1	8	1	0	0	2	6	12	2	0	1	1	47	55	2	0	3	1	0	0	0	1	4	21	4	3	0	21
"hsa-miR-3622a-5p"	0	0	5	1	0	0	0	6	7	1	1	2	1	43	29	3	0	2	1	0	1	0	2	1	73	1	2	0	14
"hsa-miR-4436b-3p"	1	2	4	4	1	1	0	3	8	2	2	3	0	89	24	1	0	3	4	1	4	0	0	4	12	0	1	1	21
"hsa-miR-4778-3p"	0	4	7	2	0	0	0	8	8	1	0	2	0	58	54	5	0	1	3	0	1	0	0	1	8	2	2	0	29
"hsa-miR-5584-5p"	1	1	3	2	0	1	1	1	11	3	1	2	0	67	48	8	1	6	9	0	0	1	1	2	19	0	0	1	6
"hsa-miR-5696"	0	4	7	2	0	1	0	11	14	2	2	2	3	49	55	6	0	6	1	0	0	0	0	1	11	1	1	0	17
"hsa-miR-648"	1	0	6	1	0	0	0	3	3	3	0	1	0	43	34	4	0	3	0	0	0	0	0	4	75	0	0	0	15
"hsa-miR-181a-2-3p"	1	3	4	2	1	1	1	5	7	5	0	1	0	54	38	6	0	2	0	0	0	0	0	2	45	1	1	1	14
"hsa-miR-24-3p"	0	2	2	1	0	1	0	5	5	1	0	1	1	48	26	3	1	5	0	0	0	0	0	0	81	0	0	0	12
"hsa-miR-30a-3p"	1	4	10	3	0	0	0	10	10	2	2	5	1	59	38	2	0	3	2	1	3	0	0	2	17	0	2	1	17
"hsa-miR-30d-3p"	1	4	10	3	0	0	0	10	10	2	2	5	1	59	38	2	0	3	2	1	3	0	0	2	17	0	2	1	17
"hsa-miR-30e-3p"	1	4	10	3	0	0	0	10	10	2	2	5	1	59	38	2	0	3	2	1	3	0	0	2	17	0	2	1	17
"hsa-miR-4533"	0	4	6	3	0	1	0	6	4	3	4	5	0	62	39	1	0	4	12	0	1	0	0	1	24	0	1	0	14
"hsa-miR-548l"	0	0	7	2	0	0	2	6	11	4	2	1	1	51	53	3	1	5	1	0	0	0	0	1	34	0	0	0	10
"hsa-miR-579"	0	2	9	1	0	1	0	7	10	2	1	2	2	50	59	4	0	6	1	1	0	0	0	2	10	2	0	1	22
"hsa-miR-644b-3p"	0	2	9	1	0	1	0	7	10	2	1	2	2	50	59	4	0	6	1	1	0	0	0	2	10	2	0	1	22
"hsa-miR-1205"	0	6	1	0	0	0	0	2	6	4	0	2	1	58	34	4	0	4	2	1	1	2	1	0	35	0	1	1	28
"hsa-miR-1299"	0	1	6	0	0	0	0	3	5	0	0	3	0	44	31	7	0	2	6	0	0	0	1	2	62	0	1	0	20
"hsa-miR-3167"	1	2	4	2	0	0	1	4	8	0	0	2	0	36	38	1	0	2	3	1	0	0	1	1	67	1	0	1	18
"hsa-miR-4316"	0	1	5	1	0	0	0	3	8	2	0	1	0	48	27	3	0	5	2	1	0	1	0	0	74	0	0	0	12
"hsa-miR-4434"	0	1	5	3	1	0	1	3	8	2	1	2	0	47	36	3	0	2	2	2	0	0	0	1	49	0	1	0	24
"hsa-miR-4699-5p"	0	2	3	3	1	0	1	6	8	1	0	3	1	47	61	2	0	5	3	0	0	1	0	0	20	0	1	0	25
"hsa-miR-4742-3p"	1	0	5	2	1	0	0	0	9	2	3	3	3	30	39	5	0	2	2	1	0	0	0	2	72	0	0	0	12
"hsa-miR-5703"	0	1	5	3	1	0	1	3	8	2	1	2	0	47	36	3	0	2	2	2	0	0	0	1	49	0	1	0	24
"hsa-miR-19a-3p"	0	1	5	2	0	0	0	8	11	1	0	3	1	47	49	2	0	5	1	0	1	1	1	1	27	0	3	0	23
"hsa-miR-19b-3p"	0	1	5	2	0	0	0	8	11	1	0	3	1	47	49	2	0	5	1	0	1	1	1	1	27	0	3	0	23
"hsa-miR-211-3p"	0	3	5	1	0	1	0	6	16	2	0	1	0	65	42	3	1	3	4	0	2	0	0	7	15	0	0	1	15
"hsa-miR-4284"	0	0	4	3	0	1	0	3	3	0	1	1	1	35	25	1	0	5	1	0	0	0	0	1	95	0	1	0	12
"hsa-miR-4667-3p"	0	3	7	0	0	0	0	8	3	2	0	7	0	57	42	6	0	0	4	2	0	0	0	2	38	1	0	1	10
"hsa-miR-498"	2	2	3	4	1	0	1	15	9	2	0	1	2	44	48	2	0	4	2	2	2	0	3	2	30	2	0	0	10
"hsa-miR-1294"	0	3	6	1	0	1	0	4	6	1	0	0	0	50	34	3	0	4	2	1	0	0	0	2	54	0	0	0	20
"hsa-miR-1324"	0	5	4	1	0	0	0	3	4	4	2	2	0	52	41	4	0	2	0	0	0	0	0	3	54	0	3	2	6
"hsa-miR-3922-3p"	1	1	4	0	1	0	0	7	7	0	0	1	1	48	25	3	0	2	3	0	0	0	2	1	67	0	1	0	17
"hsa-miR-4428"	0	1	5	2	0	0	1	5	9	2	0	2	1	52	39	3	0	3	4	0	0	0	1	0	43	0	1	0	18
"hsa-miR-4679"	0	5	5	3	0	1	0	7	9	1	0	2	1	47	48	5	0	1	0	0	0	0	0	0	30	1	0	1	25
"hsa-miR-596"	0	2	0	1	0	1	1	4	4	2	0	0	1	44	37	3	0	1	1	0	0	0	0	0	77	0	1	0	12
"hsa-miR-141-3p"	1	0	6	0	0	1	0	4	6	3	0	2	1	49	52	3	0	2	1	0	1	0	0	1	47	0	3	2	6
"hsa-miR-200a-3p"	1	0	6	0	0	1	0	4	6	3	0	2	1	49	52	3	0	2	1	0	1	0	0	1	47	0	3	2	6
"hsa-miR-2113"	1	1	7	1	0	0	0	6	11	1	2	2	1	44	44	3	0	5	1	1	0	0	1	1	27	2	2	1	26
"hsa-miR-3158-5p"	0	0	3	1	0	0	0	2	7	5	0	2	1	64	34	1	0	3	2	1	1	1	0	0	34	0	2	1	26
"hsa-miR-3617"	1	2	4	2	0	0	0	7	7	4	1	2	1	57	63	6	0	1	3	1	0	1	0	0	12	0	1	0	15
"hsa-miR-4271"	0	2	5	2	0	0	0	6	10	2	1	2	0	74	35	7	2	6	8	0	1	1	1	3	14	0	1	0	8
"hsa-miR-4279"	0	10	8	1	1	0	1	7	6	2	0	2	0	38	31	7	0	2	2	2	0	0	2	1	42	1	4	0	21
"hsa-miR-4309"	0	1	4	1	0	1	0	0	4	1	0	5	1	43	24	3	0	0	7	0	0	0	0	1	82	0	0	0	13
"hsa-miR-4645-3p"	0	3	3	1	0	0	0	6	9	6	1	2	0	62	40	3	0	4	1	0	0	0	0	1	32	0	0	0	17
"hsa-miR-4725-3p"	0	3	5	1	0	0	0	6	7	2	1	1	1	67	38	6	1	6	10	0	0	2	1	4	19	0	1	1	8
"hsa-miR-628-5p"	1	1	0	1	0	0	1	2	4	2	1	2	1	51	21	6	0	2	1	1	0	0	0	1	76	1	0	0	15
"hsa-miR-641"	1	2	4	2	0	0	0	7	7	4	1	2	1	57	63	6	0	1	3	1	0	1	0	0	12	0	1	0	15
"hsa-miR-1224-3p"	0	4	5	0	0	1	1	4	8	2	0	2	0	60	39	6	1	4	7	1	1	0	1	4	25	0	2	0	12
"hsa-miR-22-5p"	0	2	5	1	0	0	0	8	5	3	0	1	0	53	44	6	0	1	4	0	1	0	1	1	19	2	3	0	30
"hsa-miR-3921"	0	7	8	5	0	1	0	6	3	4	0	4	2	50	37	5	0	2	1	0	1	0	1	1	16	0	1	1	34
"hsa-miR-4253"	0	3	2	0	0	1	0	4	5	1	3	2	0	59	22	1	0	3	1	1	1	0	0	0	60	0	1	0	20
"hsa-miR-4286"	0	1	8	0	0	1	1	3	8	2	0	1	0	55	38	2	0	4	3	1	0	0	1	2	36	1	3	2	17
"hsa-miR-4653-5p"	0	7	8	5	0	1	0	6	3	4	0	4	2	50	37	5	0	2	1	0	1	0	1	1	16	0	1	1	34
"hsa-miR-4793-3p"	0	3	4	0	0	0	0	4	10	2	0	0	0	39	24	5	0	3	0	0	0	2	1	1	69	0	2	0	21
"hsa-miR-5683"	0	2	11	3	0	0	0	6	5	2	1	1	0	53	54	2	0	2	2	0	0	0	1	1	23	0	3	1	17
"hsa-miR-764"	0	4	4	0	1	0	0	3	12	8	0	0	1	36	29	3	1	2	5	0	2	0	1	9	56	1	1	0	11
"hsa-miR-1293"	0	0	9	1	0	0	0	8	7	2	1	0	0	44	27	5	1	5	1	1	1	0	1	5	42	2	0	0	26
"hsa-miR-3176"	0	0	3	0	1	0	0	5	8	0	0	2	1	52	22	3	0	2	2	0	0	0	2	1	69	0	0	0	16
"hsa-miR-4446-5p"	2	1	4	3	0	0	1	10	13	2	0	2	1	51	52	8	0	1	4	0	0	0	1	1	10	2	1	0	19
"hsa-miR-4640-5p"	0	2	4	1	0	0	0	2	6	2	0	2	0	66	23	2	0	3	0	0	0	1	0	1	53	1	2	1	17
"hsa-miR-548aw"	0	0	6	1	0	0	0	8	14	2	0	2	1	49	46	3	0	5	1	0	1	1	0	2	31	1	2	0	13
"hsa-miR-136-5p"	0	0	6	0	0	0	1	8	7	1	1	0	1	38	37	5	0	5	2	0	0	0	0	0	63	1	0	0	12
"hsa-miR-141-5p"	0	3	6	2	0	1	0	4	13	2	0	2	1	51	49	4	0	2	4	0	1	0	1	0	12	2	2	0	26
"hsa-miR-3659"	0	0	9	0	1	0	0	2	6	2	0	0	0	38	34	3	0	2	0	0	0	1	0	3	69	0	1	0	17
"hsa-miR-424-5p"	0	4	7	3	0	0	0	3	4	5	0	4	1	61	27	2	0	5	1	1	1	1	2	2	30	0	3	0	21
"hsa-miR-4255"	0	0	5	0	0	0	0	2	5	2	1	1	0	48	31	2	0	7	0	0	1	0	0	3	64	0	0	0	16
"hsa-miR-4662a-3p"	0	2	7	0	0	0	1	9	9	0	1	1	0	50	66	2	0	3	2	0	0	0	0	1	10	0	2	0	22
"hsa-miR-497-5p"	0	4	7	3	0	0	0	3	4	5	0	4	1	61	27	2	0	5	1	1	1	1	2	2	30	0	3	0	21
"hsa-miR-5002-5p"	0	1	5	2	1	1	0	4	10	1	0	1	2	38	60	2	0	5	0	0	0	1	0	2	27	0	0	0	25
"hsa-miR-5186"	0	1	5	2	0	0	0	1	5	1	0	1	0	42	38	5	1	5	2	1	0	0	1	1	61	0	0	1	14
"hsa-miR-93-3p"	1	5	2	2	0	1	0	2	5	0	1	1	0	64	23	8	0	2	1	1	0	0	0	0	52	2	1	0	14
"hsa-miR-5681a"	0	2	4	0	0	0	0	3	9	2	4	2	1	62	45	3	0	6	8	1	0	1	1	4	6	0	3	0	20
"hsa-miR-5692b"	2	0	3	0	1	0	1	3	17	1	3	1	1	46	74	1	0	2	3	1	0	0	0	2	10	1	0	0	14
"hsa-miR-5692c"	2	0	3	0	1	0	1	3	17	1	3	1	1	46	74	1	0	2	3	1	0	0	0	2	10	1	0	0	14
"hsa-miR-320a"	0	2	4	0	0	0	2	4	7	1	0	1	0	49	49	4	0	3	3	2	0	0	1	2	26	3	3	0	20
"hsa-miR-320b"	0	2	4	0	0	0	2	4	7	1	0	1	0	49	49	4	0	3	3	2	0	0	1	2	26	3	3	0	20
"hsa-miR-320c"	0	2	4	0	0	0	2	4	7	1	0	1	0	49	49	4	0	3	3	2	0	0	1	2	26	3	3	0	20
"hsa-miR-320d"	0	2	4	0	0	0	2	4	7	1	0	1	0	49	49	4	0	3	3	2	0	0	1	2	26	3	3	0	20
"hsa-miR-338-5p"	1	0	3	0	0	0	0	7	12	3	0	1	1	44	70	4	0	2	0	0	0	0	0	4	12	3	0	0	19
"hsa-miR-3910"	0	0	3	1	0	0	0	7	1	3	1	2	2	40	36	2	0	2	3	1	0	0	1	1	59	0	2	0	19
