	Acute myeloid leukemia	"BladderUrothelialCarcinoma(TCGA,US)"	Breast Cancer	"BreastCarcinoma(WTSI,UK)"	"BreastInvasiveCarcinoma(TCGA,US)"	"CervicalSquamousCellCarcinoma(TCGA,US)"	Chronic lymphocytic leukaemia	"ColonAdenocarcinoma(TCGA,US)"	Colorectal adenocarcinoma	"GastricCancer(CCGC,CN)"	Hepatocellular carcinoma	Hypodiploid_ALL	Leukemia/T-ALL	"LiverCancer(NCC,JP)"	"LiverCancer(RIKEN,JP)"	Lung	"MalignantMelanoma(WTSI,UK)"	Medulloblastoma	Melanoma	Myeloid leukemia	Myeloma	Pancreatic	"PediatricBrainTumors(DKFZ,DE)"	Prostate	"ProstateCancer(OICR,CA)"	"RectumAdenocarcinoma(TCGA,US)"	Small cell lung cancer	T-cell ALL	"UterineCorpusEndometrioidCarcinoma(TCGA,US)"	Sum
SNCB														0.000461119																0.000461119
ST6GAL1														0.000461119																0.000461119
TNFSF13														0.000461119																0.000461119
ZNF182														0.000461119																0.000461119
DDX51															0.000115635										0.000345309					0.000460944
BEND2														0.00023056											0.000230206					0.000460766
BAHD1														0.000237546	0.00022301															0.000460556
TMEM184C														0.000153706	0.00021475										9.21E-05					0.000460539
C10orf111																									0.000460412					0.000460412
C11orf54																									0.000460412					0.000460412
FHAD1																									0.000460412					0.000460412
GRSF1																									0.000460412					0.000460412
INTS7																									0.000460412					0.000460412
ITPK1																									0.000460412					0.000460412
MCM10																									0.000460412					0.000460412
PAICS																									0.000460412					0.000460412
PHKA1																									0.000460412					0.000460412
PLA2G12A																									0.000460412					0.000460412
POU2F3																									0.000460412					0.000460412
ZNF410																									0.000460412					0.000460412
LIN7C															0.000107375										0.000352983					0.000460358
TIMM10B														0.000244533											0.000214859					0.000459392
FADS6														0.00016768											0.000291594					0.000459274
STC1														0.00029344	0.000165192															0.000458632
GLIPR1														6.29E-05															0.000393507	0.000456387
LRRC8B															0.000148673										0.000306941					0.000455615
ZNF841																									0.000306941				0.000147565	0.000454507
DPP10															0.000454279															0.000454279
FCGR3A															0.000454279															0.000454279
MOG															0.000454279															0.000454279
OR51E1															0.000454279															0.000454279
RTN4															0.000454279															0.000454279
CPSF3L														0.000454133																0.000454133
FAM160A1														0.000454133																0.000454133
FSCN1														0.000454133																0.000454133
HK1														0.000454133																0.000454133
PHACTR3														0.000454133																0.000454133
SDCBP														0.000454133																0.000454133
ZDHHC8														0.000454133																0.000454133
SPTLC1															3.30E-05										7.67E-05				0.000344319	0.000454093
PARP11															0.000115635										0.000337636					0.00045327
C1QTNF6																									0.000452739					0.000452739
DEGS1																									0.000452739					0.000452739
NPTXR																									0.000452739					0.000452739
TTF2																									0.000452739					0.000452739
SNX27														4.19E-05	0.000264308										0.000145797					0.000452025
CYP21A2								0.000451697																						0.000451697
COX15														9.78E-05											0.000352983					0.000450796
PCNP									0.000334384						0.000115635															0.000450019
YAF2															0.000272567										0.000176491					0.000449059
NFATC3														0.000356319											9.21E-05					0.000448402
SHROOM4														0.00012576											0.000322289					0.000448048
ZYG11A															3.30E-05										0.000414371					0.000447409
CRAMP1L														0.000265493	7.43E-05										0.00010743					0.000447259
GPC3														0.000447146																0.000447146
INCA1														0.000447146																0.000447146
MGEA5														0.000447146																0.000447146
RBM38														0.000447146																0.000447146
RHBDD1														0.000447146																0.000447146
RIN2														0.000447146																0.000447146
RPAIN														0.000447146																0.000447146
FAM177A1														0.000139733											0.000306941					0.000446675
MMP19														0.000139733											0.000306941					0.000446675
RNF180														4.19E-05	0.000404721															0.000446641
IL27RA															0.000123894										0.000322289					0.000446183
ARID4A															0.000446019															0.000446019
CAMSAP1															0.000446019															0.000446019
CHMP2B															0.000446019															0.000446019
FRS2															0.000446019															0.000446019
KAT6B															0.000446019															0.000446019
KCNK10															0.000446019															0.000446019
MAGEA8															0.000446019															0.000446019
MKL2															0.000446019															0.000446019
MLLT10															0.000446019															0.000446019
PDE8A															0.000446019															0.000446019
PUS7L															0.000446019															0.000446019
SLC4A3															0.000446019															0.000446019
SMYD1															0.000446019															0.000446019
CLCNKB														0.000181653	0.000264308															0.000445961
SETX														0.000363306	8.26E-05															0.000445902
RECQL														0.000153706											0.000291594					0.000445301
C1orf210																									0.000445065					0.000445065
PCM1																									0.000445065					0.000445065
SIGLEC11														0.000321386											0.000122777					0.000444163
BHLHE40														0.000328373	0.000115635															0.000444007
ZBTB2																0.000443538														0.000443538
LYRM4														0.00025152											0.000191838					0.000443358
ZNF91														0.000174666											0.000268574					0.00044324
ARFGAP2			0.00044323																											0.00044323
CSTF3			0.00044323																											0.00044323
FZD7			0.00044323																											0.00044323
NLRP8			0.00044323																											0.00044323
ALG12																													0.000442696	0.000442696
C17orf49																													0.000442696	0.000442696
GTF3A																													0.000442696	0.000442696
KIAA1598																													0.000442696	0.000442696
NES																													0.000442696	0.000442696
POLN																													0.000442696	0.000442696
VPS26A																													0.000442696	0.000442696
CPT1A														0.000118773	1.65E-05										0.000306941					0.000442234
TECPR2														0.000244533															0.000196754	0.000441287
C19orf40														4.19E-05											0.000399024					0.000440944
ZNF470														0.000132746	0.000115635										0.000191838					0.00044022
ABAT														0.000440159																0.000440159
AKAP7														0.000440159																0.000440159
C7orf49														0.000440159																0.000440159
CLSTN3														0.000440159																0.000440159
FZR1														0.000440159																0.000440159
GALNT14														0.000440159																0.000440159
HCFC1R1														0.000440159																0.000440159
IL21R														0.000440159																0.000440159
MYL12B														0.000440159																0.000440159
VPS13A														0.000440159																0.000440159
ADAM23			0.000369358											6.99E-05																0.000439225
FOXJ3															0.000132154										0.000306941					0.000439095
DENND4C														0.000314399	0.000123894															0.000438294
SEMA3A															0.00043776															0.00043776
AGPS														9.08E-05	0.000346904															0.00043773
CDKN2AIPNL																									0.000437392					0.000437392
PAPLN																									0.000437392					0.000437392
TRAF5																									0.000437392					0.000437392
MTX2														0.00014672	0.000289087															0.000435806
ZWILCH															0.000140413														0.00029513	0.000435544
MAP3K9															6.61E-05										0.00036833					0.000434407
FAM78A														0.000202613	0.000231269															0.000433882
RAB33B															4.96E-05										0.000383677					0.000433235
NMUR1														0.000258506	8.26E-05										9.21E-05					0.000433185
CDKN2D														0.000433173																0.000433173
CHRND														0.000433173																0.000433173
DNAJC11														0.000433173																0.000433173
SLC22A12														0.000433173																0.000433173
TESPA1														0.000433173																0.000433173
NDUFAF7														0.00012576											0.000306941					0.000432701
SUN1														0.0002096	0.00022301															0.000432609
CCNA2														7.69E-05		0.00035483														0.000431683
SLC35F1														0.00012576	0.000305606															0.000431366
CBL														4.19E-05	7.43E-05										0.000314615					0.000430871
ZNF549														0.000265493	0.000165192															0.000430685
ARSD														6.99E-05											0.000360656					0.000430523
C2orf84									0.000429923																					0.000429923
EIF2A									0.000429923																					0.000429923
EIF4B									0.000429923																					0.000429923
ESYT2									0.000429923																					0.000429923
HACE1									0.000429923																					0.000429923
KCNK9									0.000429923																					0.000429923
LYRM5									0.000429923																					0.000429923
PIK3AP1									0.000429923																					0.000429923
WDR41									0.000429923																					0.000429923
ZFAND3									0.000429923																					0.000429923
ALOX15B																									0.000429718					0.000429718
CCDC120																									0.000429718					0.000429718
CCSAP																									0.000429718					0.000429718
CDC40																									0.000429718					0.000429718
PDPN																									0.000429718					0.000429718
ACRV1															0.0004295															0.0004295
EPS15															0.0004295															0.0004295
MME															0.0004295															0.0004295
SPG20															0.0004295															0.0004295
TMEM55B															0.0004295															0.0004295
UBE2W															0.0004295															0.0004295
USP45															0.0004295															0.0004295
LPHN2														9.78E-05	0.000330385															0.000428198
SRGAP1															0.000181712										0.000245553					0.000427265
IQCB1														0.000195626	0.000231269															0.000426896
PPIL2														0.000426186																0.000426186
STK32C														0.000426186																0.000426186
RDH10														0.00029344	0.000132154															0.000425593
CYP1A2															0.000156933										0.000268574					0.000425507
H2AFX														0.000118773	0.000305606															0.000424379
TMPRSS11B															0.000140413										0.000283921					0.000424334
SHANK2														0.000307413	0.000115635															0.000423047
SYT7														0.000307413	0.000115635															0.000423047
GNAT1														8.38E-05	0.000338644															0.000422484
MPHOSPH8																									0.000422045					0.000422045
ZNF546																									0.000422045					0.000422045
SLC22A23														0.000223573	0.000198231															0.000421804
SFXN3														9.08E-05	0.00022301										0.00010743					0.000421266
CUL3															0.00042124															0.00042124
LRRFIP2															0.00042124															0.00042124
NSFL1C															0.00042124															0.00042124
SIRPA															0.00042124															0.00042124
CD40														0.00012576															0.00029513	0.00042089
CAMLG														2.10E-05											0.000399024					0.000419984
NOL12														0.000258506											0.000161144					0.000419651
SV2A														0.00014672	0.000272567															0.000419287
ARHGEF1														0.000419199																0.000419199
BAIAP3														0.000419199																0.000419199
BCL9														0.000419199																0.000419199
C18orf25														0.000419199																0.000419199
CDC42SE2														0.000419199																0.000419199
CEACAM21														0.000419199																0.000419199
CLIP2														0.000419199																0.000419199
CORO7														0.000419199																0.000419199
DIAPH1														0.000419199																0.000419199
DRD1														0.000419199																0.000419199
EPB49														0.000419199																0.000419199
EPM2A														0.000419199																0.000419199
FAM219A														0.000419199																0.000419199
GRAMD3														0.000419199																0.000419199
HNMT														0.000419199																0.000419199
PCSK2														0.000419199																0.000419199
SMPD3														0.000419199																0.000419199
STK24														0.000419199																0.000419199
TRMT1L														0.000419199																0.000419199
TRMT5														0.000419199																0.000419199
ANGPT4														0.000286453	0.000132154															0.000418607
FAM229A																													0.000418101	0.000418101
GUCA1B																													0.000418101	0.000418101
KLHDC9																													0.000418101	0.000418101
LCE1D																													0.000418101	0.000418101
NUDT7																													0.000418101	0.000418101
TUBA4A																													0.000418101	0.000418101
P2RY6														0.000118773											0.000299268					0.000418041
SAMD14														0.000153706	0.000264308															0.000418014
SS18L1															0.000264308										0.000153471					0.000417778
PLEKHA5														0.000202613											0.000214859					0.000417472
RALGPS1														0.000384266	3.30E-05															0.000417305
DDI2														0.00014672															0.000270536	0.000417256
C9orf139																									0.000414371					0.000414371
PLIN5																									0.000414371					0.000414371
HTR1D														9.08E-05											0.000322289					0.000413115
C1QTNF3															0.000412981															0.000412981
COMMD6															0.000412981															0.000412981
DHX36															0.000412981															0.000412981
EXOG															0.000412981															0.000412981
HAL															0.000412981															0.000412981
LCA5															0.000412981															0.000412981
MUC21															0.000412981															0.000412981
NR1H3															0.000412981															0.000412981
OTUD6B															0.000412981															0.000412981
SEC24C															0.000412981															0.000412981
SLC22A7															0.000412981															0.000412981
SWT1															0.000412981															0.000412981
HSD17B12															5.78E-05	0.00035483														0.000412647
ARHGAP1														0.000412213																0.000412213
PGP														0.000412213																0.000412213
GNG11														0.0001048	0.000305606															0.000410406
VASH1														0.000335359	7.43E-05															0.000409696
S1PR2														4.89E-05											0.000360656					0.000409563
TRIM66															0.000140413										0.000268574					0.000408987
IFNAR1														5.59E-05											0.000352983					0.000408876
WDR73														0.000300426	0.000107375															0.000407801
C6orf132															0.00022301										0.000184165					0.000407175
AS3MT																									0.000406697					0.000406697
ATXN7L1																									0.000406697					0.000406697
EXO5																									0.000406697					0.000406697
HTRA4																									0.000406697					0.000406697
LRG1																									0.000406697					0.000406697
THNSL1																									0.000406697					0.000406697
ZSCAN29																									0.000406697					0.000406697
TRAM2									0.000191077																0.000214859					0.000405936
EPB41L4A														0.000405226																0.000405226
MAPK8IP3														0.000405226																0.000405226
NOX1														0.000405226																0.000405226
TMEM64														0.000405226																0.000405226
TRIM33														0.000405226																0.000405226
ETV1															0.000404721															0.000404721
LRRC52															0.000404721															0.000404721
NPHS2															0.000404721															0.000404721
TRPA1															0.000404721															0.000404721
GJB2														9.08E-05	0.000313865															0.000404692
NR3C2														0.000139733	0.000264308															0.000404041
ZNF441															0.000173452										0.000230206					0.000403658
C1QA														8.38E-05															0.000319725	0.000403564
SLITRK1														0.00018864	0.00021475															0.00040339
APMAP														0.000237546	0.000165192															0.000402739
FAM184A														0.000237546	0.000165192															0.000402739
TRIM22														0.000237546	0.000165192															0.000402739
RSAD1															8.26E-05														0.000319725	0.000402321
FANCM														0.000139733											0.0002609					0.000400633
CREBBP														6.99E-05	0.000330385															0.000400251
FAM196A														0.000300426											9.98E-05					0.000400182
TNFAIP8L3															0.000123894										0.000276247					0.000400142
CHP1														6.99E-05											0.000329962					0.000399829
ENSA														0.000300426	9.91E-05															0.000399542
FBXW8														0.000153706											0.000245553					0.00039926
ANO7																									0.000399024					0.000399024
ASB8																									0.000399024					0.000399024
CNNM2																									0.000399024					0.000399024
COPA																									0.000399024					0.000399024
DAPP1																									0.000399024					0.000399024
FBXL18																									0.000399024					0.000399024
NYAP2																									0.000399024					0.000399024
PSMD9																									0.000399024					0.000399024
RBM34																									0.000399024					0.000399024
LPPR5														0.00016768	0.000231269															0.000398949
PLA2G4E															0.000322125										7.67E-05					0.00039886
EPN2														0.000398239																0.000398239
MTMR3														0.000398239																0.000398239
PUS1														0.000398239																0.000398239
STARD5														0.000398239																0.000398239
ZKSCAN2														0.000398239																0.000398239
ZNF674														0.000398239																0.000398239
MMAB														0.000328373											6.91E-05					0.000397435
C4orf40															0.000297346										9.98E-05					0.000397102
LHFP														4.19E-05	0.000355163															0.000397083
ADAM22															0.000396462															0.000396462
AHSG															0.000396462															0.000396462
ANKRD17															0.000396462															0.000396462
ATP6V1F															0.000396462															0.000396462
EIF4ENIF1															0.000396462															0.000396462
EIF4H															0.000396462															0.000396462
IMMT															0.000396462															0.000396462
LRP1															0.000396462															0.000396462
PDK2															0.000396462															0.000396462
SETD7															0.000396462															0.000396462
SMIM8															0.000396462															0.000396462
TCTN3															0.000396462															0.000396462
TEF															0.000396462															0.000396462
FAM110C															0.000173452										0.000222533					0.000395985
MEAF6								0.000395235																						0.000395235
ALS2														0.00018864	0.00020649															0.00039513
CCER1														7.69E-05	0.000156933										0.000161144					0.00039493
CTAG2																													0.000393507	0.000393507
FAM83G																													0.000393507	0.000393507
KLK8																													0.000393507	0.000393507
MBNL1																													0.000393507	0.000393507
MOGAT3																													0.000393507	0.000393507
PLRG1																													0.000393507	0.000393507
PSMD10																													0.000393507	0.000393507
TXNL1																													0.000393507	0.000393507
UCK1																													0.000393507	0.000393507
THRAP3														0.00025152	0.000140413															0.000391933
ZFP30															0.000115635										0.000276247					0.000391882
C3orf72																									0.00039135					0.00039135
CRLF3																									0.00039135					0.00039135
CSMD3																									0.00039135					0.00039135
PCDHB11																									0.00039135					0.00039135
TBXA2R																									0.00039135					0.00039135
TINAGL1																									0.00039135					0.00039135
AKAP11														0.000391253																0.000391253
AP1AR														0.000391253																0.000391253
BEAN1														0.000391253																0.000391253
EXTL2														0.000391253																0.000391253
FOXD3														0.000391253																0.000391253
GATAD2A														0.000391253																0.000391253
HOXA3														0.000391253																0.000391253
RNASE13														0.000391253																0.000391253
RPP25L														0.000391253																0.000391253
SH3BP5														0.000391253																0.000391253
SLC7A8														0.000391253																0.000391253
ZNF181														0.000391253																0.000391253
GOSR2														3.49E-05	0.000355163															0.000390097
CCNY														0.00012576	0.000264308															0.000390068
TMEM87A														3.49E-05	0.000123894										0.000230206					0.000389034
INPPL1														0.000223573	0.000165192															0.000388765
GTF2E1														6.99E-05	5.78E-05										0.0002609					0.000388584
IPO5															0.000388202															0.000388202
SULT2A1															5.78E-05										0.000329962					0.000387779
OXSR1														0.000139733	0.000247788															0.000387522
PCYOX1									9.55E-05						0.000107375										0.000184165					0.000387078
CAST														0.00018864	0.000198231															0.00038687
POU3F4									0.000286615																9.98E-05					0.000386371
TVP23C-CDRT4															9.09E-05														0.00029513	0.000385986
NUDCD3														0.0001048	0.000280827															0.000385627
NXPH1														0.000195626	0.000189971															0.000385598
ODF2														0.000384266																0.000384266
TMBIM1														0.000384266																0.000384266
SHISA9															0.000115635										0.000268574					0.000384208
ATP6V0A2																									0.000383677					0.000383677
C4orf3																									0.000383677					0.000383677
DAPK2																									0.000383677					0.000383677
MAK16															9.09E-05										4.60E-05				0.000245942	0.000382839
CKAP2L														2.79E-05		0.00035483														0.000382777
KCNA3									0.000382153																					0.000382153
LLGL1									0.000382153																					0.000382153
ZNF614									0.000382153																					0.000382153
FAM19A2														0.000216586	0.000165192															0.000381779
SMIM5														0.0002096															0.000172159	0.000381759
IL1R1															0.000297346										8.44E-05					0.000381755
MLXIP														0.000132746	0.000247788															0.000380535
SQLE														0.000223573	0.000156933															0.000380506
ACADM															0.000379942															0.000379942
ADCYAP1															0.000379942															0.000379942
HEPACAM2															0.000379942															0.000379942
OSBPL2															0.000379942															0.000379942
RAPGEF4															0.000379942															0.000379942
TICAM2															0.000379942															0.000379942
TNFSF11															0.000379942															0.000379942
WDR7															0.000379942															0.000379942
ABCD3														0.00018864	0.000189971															0.000378611
TNFRSF1B															0.000140413										0.00023788					0.000378293
11-Sep															0.000132154										0.000245553					0.000377707
AIMP1														0.000377279																0.000377279
C16orf95														0.000377279																0.000377279
CLDN12														0.000377279																0.000377279
CPSF7														0.000377279																0.000377279
DEDD														0.000377279																0.000377279
EIF4G2														0.000377279																0.000377279
ETS1														0.000377279																0.000377279
GTPBP8														0.000377279																0.000377279
HEY1														0.000377279																0.000377279
HLA-C														0.000377279																0.000377279
HPN														0.000377279																0.000377279
MS4A2														0.000377279																0.000377279
MYO9A														0.000377279																0.000377279
NBEAL2														0.000377279																0.000377279
NIPSNAP3B														0.000377279																0.000377279
PKIG														0.000377279																0.000377279
R3HDM2														0.000377279																0.000377279
RPS27A														0.000377279																0.000377279
SCYL1														0.000377279																0.000377279
SLFNL1														0.000377279																0.000377279
TNFRSF18														0.000377279																0.000377279
UXS1														0.000377279																0.000377279
CYP2B6														7.69E-05											0.000299268					0.000376121
AP1S3																									0.000376003					0.000376003
C7																									0.000376003					0.000376003
HTR3B																									0.000376003					0.000376003
LNX2																									0.000376003					0.000376003
PAPL																									0.000376003					0.000376003
NCSTN														0.000237546											0.000138124					0.00037567
ACAD11														6.29E-05	0.000189971										0.000122777					0.000375628
PREP														0.000300426	7.43E-05															0.000374763
NALCN														8.38E-05	0.000289087															0.000372926
ACACA															0.000371683															0.000371683
B3GALNT1															0.000371683															0.000371683
CASP8															0.000371683															0.000371683
HTR3D															0.000371683															0.000371683
IL16															0.000371683															0.000371683
MINOS1															0.000371683															0.000371683
MRS2															0.000371683															0.000371683
MS4A4A															0.000371683															0.000371683
NR2C2															0.000371683															0.000371683
PPP1R10															0.000371683															0.000371683
PRRC2C															0.000371683															0.000371683
PTPRN2															0.000371683															0.000371683
SIGLECL1															0.000371683															0.000371683
STK39															0.000371683															0.000371683
ZNF148															0.000371683															0.000371683
DVL3														7.69E-05	0.000140413										0.000153471					0.000370737
ACSL1														0.00018864	0.000181712															0.000370351
C16orf55														0.000370293																0.000370293
MZT1														0.000370293																0.000370293
TPCN2														0.000370293																0.000370293
C2orf91														0.000139733											0.000230206					0.000369939
CHP2															0.000231269										0.000138124					0.000369393
S1PR3														9.08E-05	0.000140413										0.000138124					0.000369364
DSCR6			0.000369358																											0.000369358
TBR1			0.000369358																											0.000369358
ASZ1																													0.000368913	0.000368913
CDC123																													0.000368913	0.000368913
FBRS																													0.000368913	0.000368913
MBTPS1																													0.000368913	0.000368913
PGS1																													0.000368913	0.000368913
SLC35A2																													0.000368913	0.000368913
TREM2																													0.000368913	0.000368913
TAF8														7.69E-05											0.000291594					0.000368448
DHFR																									0.00036833					0.00036833
DNPEP																									0.00036833					0.00036833
GLTP																									0.00036833					0.00036833
PIK3CD																									0.00036833					0.00036833
RHOBTB3																									0.00036833					0.00036833
RNF207																									0.00036833					0.00036833
SDE2																									0.00036833					0.00036833
SRSF5																									0.00036833					0.00036833
SYDE2																									0.00036833					0.00036833
TPRG1L																									0.00036833					0.00036833
ZSWIM1																									0.00036833					0.00036833
ZSWIM7																									0.00036833					0.00036833
FLG2															0.000107375										0.0002609					0.000368275
SLC11A1														0.00016768											0.000199512					0.000367192
TMEM67															0.000198231										0.000168818					0.000367049
NANOS1														2.79E-05	0.000338644															0.000366591
ENPEP														0.000300426	6.61E-05															0.000366503
NDUFAF6														0.000174666	0.000189971															0.000364638
CHM														0.000132746	0.000231269															0.000364016
C5orf64															0.000363423															0.000363423
DCUN1D4															0.000363423															0.000363423
DENND1B															0.000363423															0.000363423
EPB41L1															0.000363423															0.000363423
GAREML															0.000363423															0.000363423
GBA3															0.000363423															0.000363423
KBTBD4															0.000363423															0.000363423
OTUB2															0.000363423															0.000363423
PTPN21															0.000363423															0.000363423
TMX2															0.000363423															0.000363423
TOP1															0.000363423															0.000363423
TCHHL1														9.08E-05	0.000272567															0.000363394
AK5														0.000363306																0.000363306
C11orf91														0.000363306																0.000363306
CNOT4														0.000363306																0.000363306
FAM65A														0.000363306																0.000363306
GALNT9														0.000363306																0.000363306
LYPD3														0.000363306																0.000363306
MED15														0.000363306																0.000363306
PKP4														0.000363306																0.000363306
PLSCR3														0.000363306																0.000363306
RFNG														0.000363306																0.000363306
WNK1														0.000363306																0.000363306
CTNNA2														9.78E-05	0.000264308															0.000362121
SHPK														0.000223573											0.000138124					0.000361697
AP3S2																									0.000360656					0.000360656
C15orf38-AP3S2																									0.000360656					0.000360656
DDX52																									0.000360656					0.000360656
HSPE1-MOB4																									0.000360656					0.000360656
HUS1																									0.000360656					0.000360656
NCBP1																									0.000360656					0.000360656
RUNDC1																									0.000360656					0.000360656
UFM1																									0.000360656					0.000360656
GYPA														7.69E-05	6.61E-05										0.000214859					0.000357789
CIRBP														0.000111786															0.000245942	0.000357728
UACA															4.96E-05										0.000306941					0.000356499
DCAF10														8.38E-05	0.000165192										0.00010743					0.000356462
SENP5															0.000264308										9.21E-05					0.00035639
ARHGEF3														0.000356319																0.000356319
FAM109A														0.000356319																0.000356319
IL17RE														0.000356319																0.000356319
INPP5K														0.000356319																0.000356319
ITGA7														0.000356319																0.000356319
NACC1														0.000356319																0.000356319
NKD2														0.000356319																0.000356319
RNF26														0.000356319																0.000356319
KRT9															0.000355163															0.000355163
ZDHHC23														9.08E-05	0.000264308															0.000355134
GTPBP1														0.000181653	0.000173452															0.000355105
DYNAP																0.00035483														0.00035483
GDF3																0.00035483														0.00035483
KLLN																0.00035483														0.00035483
RAD21																0.00035483														0.00035483
NEUROG1														0.000237546	0.000115635															0.000353181
RALGAPA2															8.26E-05														0.000270536	0.000353132
DBF4B																									0.000352983					0.000352983
DPPA3																									0.000352983					0.000352983
GNS																									0.000352983					0.000352983
GRB2																									0.000352983					0.000352983
PRELP																									0.000352983					0.000352983
SLC22A9																									0.000352983					0.000352983
VRTN																									0.000352983					0.000352983
TOR4A														0.000244533											0.00010743					0.000351962
DSTN														6.99E-05	0.000280827															0.000350694
SSH2														0.000160693	0.000189971															0.000350664
SYT15															0.000181712										0.000168818					0.000350529
C22orf46														0.0002096	0.000140413															0.000350013
C14orf119															6.61E-05										0.000283921					0.000349998
SLC27A1														0.000111786											0.00023788					0.000349666
LPIN2														0.00016768	0.000181712															0.000349391
RNGTT														0.000258506	9.09E-05															0.000349362
APOL4														0.000349333																0.000349333
CLEC3A														0.000349333																0.000349333
DOHH														0.000349333																0.000349333
EPPK1														0.000349333																0.000349333
FHIT														0.000349333																0.000349333
FOXP3														0.000349333																0.000349333
JUP														0.000349333																0.000349333
MAPK8IP2														0.000349333																0.000349333
PNKD														0.000349333																0.000349333
PPP2R2A														0.000349333																0.000349333
PVRL2														0.000349333																0.000349333
SLC25A21														0.000349333																0.000349333
ABCA5															0.000346904															0.000346904
AGPAT3															0.000346904															0.000346904
C1orf27															0.000346904															0.000346904
COL4A5															0.000346904															0.000346904
DACH1															0.000346904															0.000346904
DTWD1															0.000346904															0.000346904
ENO4															0.000346904															0.000346904
FAM53C															0.000346904															0.000346904
FGFR1OP2															0.000346904															0.000346904
IDE															0.000346904															0.000346904
LRIG3															0.000346904															0.000346904
MSMO1															0.000346904															0.000346904
NMNAT2															0.000346904															0.000346904
NRF1															0.000346904															0.000346904
PARP8															0.000346904															0.000346904
PCDH19															0.000346904															0.000346904
RAG2															0.000346904															0.000346904
SATB2															0.000346904															0.000346904
TBL1XR1															0.000346904															0.000346904
TMEM237															0.000346904															0.000346904
USP8															0.000346904															0.000346904
WDR89															0.000346904															0.000346904
GLI2														0.00018864	0.000156933															0.000345572
AP4S1																									0.000345309					0.000345309
DDX46																									0.000345309					0.000345309
IFLTD1																									0.000345309					0.000345309
LPAR6																									0.000345309					0.000345309
FRA10AC1															0.000107375										0.00023788					0.000345255
FAM57A														0.0001048	0.000239529															0.000344329
ARID5A																													0.000344319	0.000344319
CHAF1A																													0.000344319	0.000344319
GTF3C2																													0.000344319	0.000344319
METTL1																													0.000344319	0.000344319
NMB																													0.000344319	0.000344319
NOMO1																													0.000344319	0.000344319
PRDM7																													0.000344319	0.000344319
STXBP1																													0.000344319	0.000344319
RNF157															0.000189971										0.000153471					0.000343442
INPP5D														0.000111786	0.000231269															0.000343056
SLC6A6														0.000111786	0.000231269															0.000343056
ZNF626														0.000160693	0.000181712															0.000342405
ANGEL1														0.000342346																0.000342346
CARTPT														0.000342346																0.000342346
DDX28														0.000342346																0.000342346
MTCH1														0.000342346																0.000342346
MUL1														0.000342346																0.000342346
GUF1															0.000173452										0.000168818					0.00034227
TSPAN12														0.000118773											0.000222533					0.000341306
ZNF770														7.69E-05	0.000264308															0.000341161
AMOTL2														0.000258506	8.26E-05															0.000341102
KIAA1715														0.000216586	0.000123894															0.000340481
PRRT3														5.59E-05	0.000115635										0.000168818					0.000340346
MEIS1														0.000265493	7.43E-05															0.000339829
CALML4														4.19E-05	0.000297346															0.000339266
MORC1														0.000132746	0.00020649															0.000339237
FDCSP								0.000338773																						0.000338773
GTSF1								0.000338773																						0.000338773
ARRDC4															0.000338644															0.000338644
C2CD4A															0.000338644															0.000338644
GMFB															0.000338644															0.000338644
IPPK															0.000338644															0.000338644
PDZK1															0.000338644															0.000338644
SART3															0.000338644															0.000338644
SOD1															0.000338644															0.000338644
TRDMT1															0.000338644															0.000338644
SH3BGRL														0.000181653	0.000156933															0.000338586
FAM83H														0.00014672											0.000191838					0.000338558
SNX13														0.00027248	6.61E-05															0.000338556
EBLN2														4.89E-05	0.000289087															0.000337993
DAND5																									0.000337636					0.000337636
DDO																									0.000337636					0.000337636
HSDL2																									0.000337636					0.000337636
NHEJ1																									0.000337636					0.000337636
NHLRC2																									0.000337636					0.000337636
NUDT4																									0.000337636					0.000337636
OSCAR																									0.000337636					0.000337636
PLEKHB2																									0.000337636					0.000337636
PRKAA1																									0.000337636					0.000337636
SLC17A5																									0.000337636					0.000337636
TMEM45B																									0.000337636					0.000337636
VPS33A																									0.000337636					0.000337636
ZC3H12B																									0.000337636					0.000337636
HS3ST4														5.59E-05	7.43E-05										0.000207186					0.000337415
NDST1														0.000237546	9.91E-05															0.000336662
WDR52														0.0001048	0.000231269															0.000336069
ADD2														0.000237546															9.84E-05	0.000335923
ARF1														0.000335359																0.000335359
CDK10														0.000335359																0.000335359
CES4A														0.000335359																0.000335359
CHST6														0.000335359																0.000335359
CLN3														0.000335359																0.000335359
CST9														0.000335359																0.000335359
FAM221A														0.000335359																0.000335359
FXYD5														0.000335359																0.000335359
GPR126														0.000335359																0.000335359
GRM8														0.000335359																0.000335359
KIF17														0.000335359																0.000335359
NFYA														0.000335359																0.000335359
NOC2L														0.000335359																0.000335359
PSMB5														0.000335359																0.000335359
RFESD														0.000335359																0.000335359
SCN5A														0.000335359																0.000335359
SLC6A12														0.000335359																0.000335359
TANK														0.000335359																0.000335359
TERT														0.000335359																0.000335359
TMPRSS6														0.000335359																0.000335359
TOMM5														0.000335359																0.000335359
TSSK1B														0.000335359																0.000335359
WSB2														0.000335359																0.000335359
SIRPB2															0.000181712										0.000153471					0.000335182
CLHC1														0.000181653											0.000153471					0.000335124
SWSAP1														0.000181653											0.000153471					0.000335124
SMCR8														0.00029344	4.13E-05															0.000334738
